filename,text,speaker_id
BI0057_2484.wav,It is thirteen degrees with drizzle in Exeter,2484
EN0900_3397.wav,In one version of this technique a conductive sheet under test is placed between two coils,3397
EN0005_4310.wav,People look but no one ever finds it,4310
EN0007_2484.wav,Throughout the centuries people have explained the rainbow in various ways,2484
EN0049_4310.wav,The powers of the appointed chair are limited so that the chair can't adjourn a meeting at any point without the majority vote,4310
EN0024_2484.wav,She can scoop these things into three red bags and we will go and meet her on Thursday at the train station,2484
EN1071_2484.wav,Werewolf literature shows many examples of god or saints allegedly cursing those who invoked their wrath with werewolfism,2484
EN0255_2484.wav,You can view and manage your entire Google account history from my activity,2484
EN1465_3397.wav,A lighthouse is a tower building or other type of structure designed to emit light from a system of lamps and lenses,3397
IR0053_4310.wav,Email from Cathal Kennedy,4310
EN1360_2484.wav,Male dance traditionally includes complex tap dance and patting knees shoulders and hips,2484
EN0026_2484.wav,That quick beige fox jumped in the air over each thin dog,2484
IR0090_3397.wav,Here is the best way to get from Sydenham Station to Lurgan station,3397
EN0037_4310.wav,The value of a pleasure or pain considered by itself can be measured according to its intensity duration certainty and proximity,4310
EN0048_3397.wav,Tourists are enjoying fresh air in our pleasure gardens all year around,3397
EN1294_3397.wav,Viennese cafes claim to have invented the process of filtering coffee from booty captured after the second turkish siege in sixteen eighty-three,3397
EN0003_4310.wav,These take the shape of a long round arch with its path high above and its two ends apparently beyond the horizon,4310
EN0639_2484.wav,Please make sure that you never ask users for email accounts in any situation,2484
EN0387_3397.wav,Well it's no fun having a pet that moves at the speed of light anyway,3397
EN0185_4310.wav,Stir your cauldron as you dance,4310
EN0018_2484.wav,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows,2484
IR0083_3397.wav,Show me the directions from Ballycarry Station to Scarva Station,3397
EN0046_3397.wav,Travelcard and Oyster card fares are managed by Transport for London,3397
EN0036_3397.wav,Direct actions employ specialized military capabilities to seize destroy capture exploit recover or damage designated targets,3397
EN0129_3397.wav,Great you know the drill,3397
EN0008_2484.wav,Some have accepted it as a miracle without physical explanation,2484
EN0226_2484.wav,It’s taking longer than usual to send your message,2484
EN0026_3397.wav,That quick beige fox jumped in the air over each thin dog,3397
EN0651_2484.wav,It is snowing in Zurich,2484
BI0210_4310.wav,Flights from Cologne Bonn Airport to Lisbon Airport start from ninety-seven pound,4310
EN0107_2484.wav,Your app facilitates or promotes content that includes gratuitous violence or dangerous activities,2484
BI0161_2484.wav,Take East Coastway Line from Brighton Station,2484
EN0021_4310.wav,This is a very common type of bow one showing mainly red and yellow with little or no green or blue,4310
EN0961_2484.wav,After leaving Frank Claire goes back to Texas where she has a tense reunion with her mother who is dying of lymphoma,2484
EN0042_3397.wav,With all three components in place every village in Africa could enjoy its fair share of the blessings of civilization,3397
EN0027_3397.wav,Look out I shout for he's foiled you again creating chaos,3397
EN1443_2484.wav,Lovejoys Law is a probable diversion from a weak logical stance,2484
EN0013_4310.wav,Aristotle thought that the rainbow was caused by reflection of the sun’s rays by the rain,4310
BI0106_4310.wav,Making a video call to Rebecca,4310
EN0218_2484.wav,What language do you prefer to speak in,2484
EN0015_2484.wav,Many complicated ideas about the rainbow have been formed,2484
EN0877_2484.wav,From the level of a small boat the island with the palms colonnades and pylons seems to rise out of the river like a mirage,2484
